Locus;VIOL1;URAL1;URUR1;URAL2;URAL3;URAL4;URAL5;URAR1;URUR2;URAR2;URUR3;VIOL2;URAL6;URAL7;URUR4;URUR5;URAL8;URAL9;URUR6;URUR7;URUR8;INFU1;URAR3;URUR9;URAL10;WAHL1;URAL11;URUR10;URUR11;SOCZ1;URAL12;URUR12;URAR4;URAL13;SOCZ2;SOCZ3;VIOL3;INFU2;SOCZ4;URAR5;URAR6;WAHL2;SOCZ5;URUR13;URAL14;URUR14;URUR15;URUR16;URUR17;URUR18;URAL15;SOCZ6;URUR19;URUR20;URAL16;URAR7;URUR21;INFU4;SOCZ7;ININ;URUR22;URAR8;URAR9;URAR10;URUR23;INTE1;URAL17;URUR24;VIOL4;URUR25;URUR26;URAR11;INFU3;URUR27;SOCZ8;INTE2;SOCZ9;URUR28;URAL18;URAL19
gene-46-consensus;23.4841;53.2324;26.4064;31.5732;22.9651;15.8258;15.65;42.6665;10.0069;27.2352;32.3923;26.8433;20.1186;29.4004;44.1941;18.6359;23.5335;20.7209;16.6984;21.7078;19.3339;29.0128;37.418;38.5423;24.9489;26.5253;11.9898;82.8692;33.8406;35.4323;34.3742;37.796;17.6613;23.598;4.87078;48.162;25.9063;28.7016;44.8445;20.6482;31.1864;16.8431;19.4325;38.4728;58.0848;56.034;82.7768;10.7808;91.5072;114.286;65.8344;101.169;94.1477;72.8063;72.8069;71.6217;83.5214;0;5.92264;140.32;106.362;96.3819;157.441;0.935007;52.7158;84.4424;62.3876;36.0014;3.62064;2.40395;109.234;141.386;82.6687;87.3048;0;11.9895;83.2517;30.3862;96.194;89.6946
gene-47-consensus;30.6316;60.7094;43.155;50.1678;32.4716;16.4051;22.1701;55.1467;11.0139;39.3595;44.2694;51.2452;44.1633;38.1374;70.7297;35.3749;33.8155;40.4429;31.8132;26.292;28.0826;53.2625;52.082;52.5857;40.7329;37.965;13.8844;132.261;54.3241;54.1892;55.7816;36.0296;29.4094;34.2398;4.52853;74.3468;29.679;51.1405;80.7486;37.3657;50.7793;21.4903;26.391;53.926;94.6904;71.0814;108.009;19.5447;122.618;143.379;0;130.409;113.018;100.231;100.458;95.8312;99.2468;82.1361;5.76587;172.033;148.716;132.301;205.852;0.273576;79.0157;115.705;90.3123;46.9495;4.81692;4.2396;137.388;219.708;107.294;116.983;0.36067;13.3231;141.91;41.1714;114.63;138.32
gene-50-consensus;21.206;51.0949;22.6529;22.3654;19.4121;16.1328;16.6791;42.6129;9.92558;28.4675;23.2015;21.8684;20.0497;26.0128;36.3043;14.9359;22.5147;19.0406;34.4672;24.6967;13.9888;29.6012;26.657;28.7809;23.4318;19.3871;12.1983;66.5167;36.3891;35.2234;30.5373;35.7229;20.0139;18.0482;3.76356;51.5848;19.1695;22.2637;61.6205;25.9141;28.1616;11.4556;16.469;26.5827;48.9408;37.957;71.0353;14.7371;77.9778;92.6292;47.2057;83.6866;81.0067;58.3441;58.4866;55.6338;63.6931;70.6362;2.78326;115.156;78.7995;72.7881;164.05;0.0722367;51.8081;83.3601;48.8928;18.9851;1.5869;3.49912;84.9159;119.997;92.4949;70.3403;0;10.3259;98.5881;26.4532;97.7511;0
gene-51-consensus;18.9335;37.9306;25.6728;26.0083;19.503;33.9952;13.3131;41.3272;33.2609;33.8349;22.7952;27.6344;23.139;21.6525;30.3705;19.1655;26.1742;19.2707;53.428;33.4069;14.945;31.9511;41.1969;23.0313;24.7721;24.7813;13.1172;65.3842;57.5017;34.3451;24.0616;101.389;18.9947;22.7898;11.484;63.8133;17.9978;32.1203;85.3651;24.9789;32.5084;10.958;19.4181;25.3776;49.629;37.1239;55.2416;17.7995;67.0696;90.7406;43.8287;65.7255;71.3165;63.8337;48.7722;62.511;55.1747;45.6059;3.22576;128.941;124.098;0;198.529;0.309673;45.2681;67.8623;47.0099;19.3656;2.52462;0.965702;68.9038;182.503;67.2073;74.417;0;7.37842;93.2959;23.3544;81.6499;70.887
gene-54-consensus;17.9112;45.8749;27.0056;22.4905;18.1369;12.6512;13.5897;30.0305;8.56868;29.2815;26.3194;20.0811;24.234;24.4882;42.2343;14.9705;21.9934;21.6474;18.1491;14.5203;19.7164;24.0652;24.5257;30.0976;20.6191;23.7331;8.43845;68.0315;29.4231;29.5758;32.2703;26.4477;15.3475;20.6153;4.58988;39.1168;19.074;29.9783;39.1521;23.4496;25.2493;16.9746;17.9254;38.1659;60.4905;42.3468;75.2639;10.4353;81.3105;100.816;67.2572;97.6662;87.9186;73.8803;59.6975;69.8675;72.7269;75.0333;2.84922;109.187;104.74;96.6737;160.886;0.700055;54.8198;80.2343;68.0157;29.9072;2.56167;4.87507;121.507;152.987;70.5879;88.6719;0;8.60902;91.5679;33.187;88.6583;77.2418
gene-57-consensus;31.2861;56.1511;37.3995;35.8262;38.8604;35.3071;24.527;62.2211;28.8717;39.1918;28.1334;47.5983;33.9512;44.5548;51.4451;25.1033;36.3619;27.0154;54.1028;47.2857;23.6144;40.1728;45.5245;38.6079;32.4716;26.9898;20.708;94.4487;72.1943;46.4724;35.5726;89.8847;30.1472;29.7479;9.3698;84.0251;41.1637;47.4537;103.729;45.5804;46.0548;16.0151;24.0673;43.5425;79.7949;53.747;98.5305;21.9514;102.663;124.202;82.4444;111.192;99.5135;85.5005;86.131;77.6644;84.6075;88.0991;4.43857;175.059;137.129;115.835;196.379;0.733111;60.145;98.3919;78.603;34.8109;4.089;4.81022;128.973;170.295;98.7936;108.784;0.190657;11.9452;119.739;32.777;119.119;112.214
gene-60-consensus;12.5809;38.1804;18.6255;24.0847;17.0481;8.53509;10.3333;27.3293;7.65341;21.251;24.5006;13.7303;25.9589;14.8525;42.0365;14.506;18.6172;17.356;18.4993;7.29182;13.7471;27.4448;25.3031;29.6533;18.5863;25.1606;5.99079;57.8508;24.748;25.9884;23.4515;28.9615;11.4456;17.3579;1.64989;37.3588;14.4461;22.4623;31.1037;14.6565;24.2264;15.4455;15.9507;26.2223;55.2838;44.0721;79.369;10.2543;88.578;115.359;65.8285;100.281;77.2129;67.3466;70.4365;67.4038;74.5454;54.2916;4.84298;105.782;100.493;90.9817;158.013;0.10142;55.1252;67.5737;53.6257;24.9856;2.52304;2.4906;103.32;125.543;76.3031;81.6338;0;9.04416;97.0531;27.4993;94.8484;75.3909
gene-62-consensus;33.1074;73.9328;31.8996;54.1681;42.0337;41.015;13.7323;49.7551;21.9117;44.6375;50.8932;36.7179;39.0891;40.8896;104.438;37.7896;53.3198;40.4361;47.0437;59.6979;35.6223;39.5873;52.9653;55.8097;48.4213;41.5114;16.7632;144.465;88.8693;43.5453;57.5353;93.2353;35.7448;45.2268;3.0567;57.6491;39.6852;33.9269;61.4187;44.1404;50.2454;27.9881;23.9965;57.3577;78.9518;68.6024;111.345;18.7876;119.057;138.154;96.2068;117.854;95.8707;96.6683;104.066;69.616;117.406;79.3048;8.22061;141.414;139.463;130.323;161.575;0.512491;77.5961;100.233;88.8399;44.5466;4.57571;6.83988;108.028;200.447;86.5004;118.258;0.119326;13.0929;120.223;40.6912;140.851;116.494
gene-66-consensus;13.3518;28.9362;7.78571;10.2078;11.693;14.0257;5.9797;25.7076;14.4695;7.46447;11.3616;20.0106;19.762;17.167;19.5984;6.3056;18.5614;5.43112;21.0962;14.4153;14.1055;13.7286;17.1205;15.4898;13.1305;8.66648;9.03951;40.1099;26.9386;13.6943;15.2122;35.5596;14.416;4.91726;2.99276;30.588;16.1249;17.2315;41.4553;14.4043;15.089;2.57581;6.49534;10.337;40.902;29.179;47.0249;9.9969;57.5576;72.1043;48.5661;69.4116;55.5305;41.0124;33.8089;43.75;46.7187;40.3963;0.773172;78.1184;69.2522;59.5693;102.549;0;33.7492;43.0768;52.7112;15.0591;2.30471;0;62.63;92.293;43.1242;58.7558;0;4.20737;57.3671;16.2163;61.3389;53.7784
gene-71-consensus;24.5624;54.0392;26.8905;32.0989;20.6384;15.1676;18.813;49.2301;9.2357;31.3926;23.2587;36.4472;32.7725;37.1783;50.1851;27.1123;28.0451;24.5393;30.0116;18.218;23.7593;36.6709;39.0628;38.2709;32.8375;28.7977;14.2249;86.6817;42.1018;35.129;41.4713;31.0238;25.3744;27.4965;3.33391;60.5682;27.3077;33.8958;63.3662;34.9337;37.7654;17.958;19.1567;34.6323;75.7258;55.1562;100.342;16.1988;89.1843;117.399;73.0871;116.261;94.9587;85.7161;68.9238;66.7711;79.8659;76.7436;5.38339;146.832;118.856;98.9558;217.051;0.810151;55.4175;95.0989;57.1374;29.6021;3.29441;3.00105;104.024;213.738;91.2689;110.777;0;10.9087;93.0574;36.4803;103.583;93.2176
gene-73-consensus;21.3351;54.2789;28.9258;29.9523;26.5187;21.4066;18.3429;44.7748;23.4964;32.9673;24.0002;38.124;35.1401;36.3256;47.06;22.6886;28.0596;23.0487;41.0449;26.7881;21.0467;30.898;35.1744;35.8455;30.9578;26.2258;13.5319;66.3366;49.629;37.3849;32.9511;61.1575;23.377;23.9209;8.06144;62.1147;27.966;39.1711;71.5075;30.0198;37.2613;14.8213;20.9385;34.0846;66.1677;43.9082;86.3198;16.4092;85.0861;118.123;71.0874;104.02;91.2217;66.3808;69.6587;64.2597;85.6176;71.2533;2.67722;143.602;116.403;98.0912;0;0.102524;56.3223;77.7303;70.0367;29.9132;4.55463;0;112.761;143.07;75.7537;88.0342;0.208852;10.1609;0;25.3177;100.505;89.6279
gene-74-consensus;9.84299;38.8719;13.3874;15.3772;11.4809;15.3526;11.4229;30.7554;17.0924;19.5067;12.6708;16.232;15.4429;17.6625;23.268;12.701;17.2012;9.65333;29.6201;19.7257;11.0773;20.3377;25.162;14.8965;14.6804;13.839;8.64148;40.0542;27.3297;35.4499;20.9029;34.286;14.0305;14.3758;5.28168;52.4456;11.3974;19.6265;45.7441;20.2138;18.1077;8.71088;16.7408;22.4949;42.1847;28.8609;55.2908;11.0428;58.68;86.0301;32.4956;77.247;58;47.356;44.3068;43.0404;52.2441;45.0521;3.29025;78.0499;60.9273;53.082;101.071;0.151;32.0888;66.1185;54.6938;18.7672;3.09049;4.00251;82.0892;97.6007;49.4745;61.4324;0;6.48247;97.4078;25.7819;71.0054;69.5923
gene-76-consensus;19.1171;53.4432;20.2539;24.333;14.6641;5.77559;14.0752;44.1372;11.8937;25.1983;25.5036;23.3063;25.9071;23.0641;47.3287;15.9154;21.675;19.6108;14.6488;8.14147;17.3384;26.4015;27.6668;34.1779;24.95;23.6793;4.92796;68.0478;30.6072;28.111;37.224;21.0812;19.4652;23.7974;5.20194;52.7089;16.5162;24.3822;37.3139;20.2989;25.8647;17.8668;14.4895;32.6341;50.399;40.0726;67.495;10.2147;84.3482;88.5858;62.7152;81.4283;82.2235;74.1436;61.3328;56.1592;81.4265;55.6281;5.49539;117.641;94.2574;82.5221;141.187;0.0573671;56.8571;57.6014;59.4179;31.6529;2.82733;2.82499;87.7005;112.428;60.2595;83.4784;0;8.41811;88.2582;33.558;86.0134;80.907
gene-78-consensus;16.6264;31.9798;19.4655;18.2731;11.9417;19.0585;9.97196;31.619;18.5675;20.9958;16.5776;24.909;22.3851;22.2851;25.1496;13.6557;19.9724;12.7102;30.9132;20.0135;10.7739;17.7236;23.1613;19.6529;16.6423;12.7317;13.5239;42.09;28.258;29.6201;18.0589;58.1657;12.114;14.1367;4.67309;37.859;14.7417;27.1504;55.4245;13.5937;27.8585;10.0966;11.369;17.5348;31.4992;24.4193;49.6416;11.1739;59.9818;64.4451;45.6246;47.0338;62.6523;45.0954;40.5002;28.6493;42.7978;29.0333;3.06346;91.5131;64.6143;43.7285;95.5265;0;37.7147;49.5394;35.28;19.9319;0.979381;1.54196;66.8385;93.0045;51.4988;64.3536;0;6.02335;64.0681;18.0586;65.2262;47.7899
gene-7-consensus;7.44201;1.23944;11.5587;6.59697;11.6445;4.73889;2.87759;9.4875;3.82293;13.5197;12.8839;0;0;0;26.9482;2.10591;13.6856;5.95616;13.6381;0;3.92276;15.4731;9.02694;14.3617;2.19167;9.83547;0;33.2402;10.3712;12.2095;0.325752;20.9193;0;3.80134;0;10.0481;0;6.99382;21.5766;0;8.07481;1.00602;12.7952;24.0165;30.798;26.8022;47.8451;3.45625;47.1836;57.7315;56.5471;46.9777;58.1828;37.1898;36.1532;40.3541;41.4759;36.0106;0;61.2265;64.6845;65.8521;94.1972;0;36.3332;38.8542;40.7995;15.7487;0;0.876166;61.8872;104.461;39.2073;0;0;2.94645;58.0656;21.1667;59.0215;54.0327
gene-82-consensus;10.3291;31.7224;21.499;22.2955;13.4;1.22426;11.6967;21.9363;6.19536;22.4535;22.6004;16.5047;16.5674;19.0682;33.1225;14.1505;20.4447;16.3744;6.38369;7.5651;12.7199;18.2514;24.4753;28.648;21.6494;30.0614;2.99104;58.3929;16.2039;27.4565;15.4516;12.3283;7.69003;13.42;2.18436;29.0564;9.62688;17.0319;38.1507;15.8238;17.4616;15.6608;10.4142;0;48.6823;53.2514;70.5678;4.35173;83.2463;98.291;63.5794;90.27;67.3774;69.8887;64.0812;60.8051;77.7829;75.0443;2.55127;137.368;103.623;80.1562;140.784;0.11038;56.7005;76.696;53.2703;22.9229;3.60708;3.30501;89.8871;121.644;59.1346;82.8154;0;11.3335;77.1752;26.0553;96.5624;0
gene-83-consensus;18.7804;45.906;22.5115;27.585;27.4903;15.8677;17.9525;31.3155;11.6584;27.5869;21.4849;0;27.1209;23.3061;39.2721;18.9037;18.5917;19.7576;23.6006;21.8977;16.0879;25.0892;28.7429;28.4657;23.8093;19.2189;0;65.1741;32.4816;30.635;25.7089;29.5679;14.3443;21.6161;3.12268;40.1949;17.121;23.988;42.9983;24.9563;28.6013;0;15.2484;29.3377;49.8416;44.1226;66.0998;12.2867;82.8873;0;62.6626;96.9164;70.5673;56.0983;0;0;70.8145;51.0611;1.90022;95.9648;95.7663;71.5816;139.481;0.354067;49.7172;65.8671;52.3177;24.7387;3.21755;2.69097;97.4551;0;63.8977;84.7216;0;8.68847;86.2372;33.6226;89.0891;0
gene-84-consensus;7.22569;14.583;7.42782;10.3071;7.50122;2.70651;5.27742;17.7023;0;13.9339;9.98454;7.43353;8.4075;11.0258;17.5323;7.45781;10.7616;7.79577;10.0086;2.90261;3.86751;12.6253;13.9579;11.8336;8.51826;7.85691;2.42419;24.8504;16.8438;10.4768;11.9048;10.8216;5.64227;8.64782;0.800266;16.6488;8.04543;9.18719;20.7151;4.9615;10.1156;8.34431;6.92668;14.9189;25.5372;21.1766;27.8562;5.56619;47.6704;56.7685;31.4349;41.3357;43.8969;29.5409;29.7757;21.3373;35.2207;22.7813;1.11632;43.3415;39.9472;47.0444;58.8402;0;26.8836;34.0413;24.8967;16.7118;2.75252;0;58.4765;102.312;36.6285;49.6311;0;4.86999;53.3147;15.8481;54.6651;37.4558
gene-85-consensus;13.3207;28.2208;17.1889;26.1263;23.9862;6.87621;10.2695;33.7481;5.3;20.3313;21.7624;17.5209;18.2823;23.8258;39.8554;15.7313;17.857;15.9785;18.0938;13.212;13.294;25.2771;22.4209;19.5032;21.9415;22.8289;8.06987;57.3999;29.5941;27.5318;33.4522;26.1585;7.16932;15.3457;0.450867;29.9233;16.4598;23.3883;43.0449;12.3058;19.1273;15.2736;16.0131;28.3642;43.9992;34.2348;61.579;10.0861;68.6408;71.4678;89.1183;81.7017;97.4484;53.3984;60.8539;37.4696;58.4655;64.9111;2.42791;121.869;134.433;61.9458;112.381;0.261821;49.0676;58.4547;41.7659;24.5752;2.6103;2.6337;83.2172;166.324;57.9145;67.0134;0.160638;8.15012;76.8927;26.943;77.3784;90.4302
gene-89-consensus;21.1097;41.8308;32.4355;39.7005;11.4512;14.6213;15.7928;36.0009;13.0552;30.9907;26.8288;33.0333;30.3467;34.3811;55.0864;24.6382;30.965;30.343;29.8324;16.8242;20.5337;33.192;39.2318;31.2343;27.4296;26.5852;9.81578;72.9006;42.6344;30.7394;32.8465;43.9567;14.8082;22.5616;4.13634;50.059;16.511;34.5173;57.9359;25.4721;39.8617;14.3739;22.8718;31.1016;53.2007;47.9801;72.5803;13.7544;78.6387;97.592;0;75.3034;68.6687;70.351;69.4611;56.9797;73.7154;57.5139;6.50533;101.419;85.9181;75.3669;126.633;0.286872;51.064;76.505;53.3124;28.5761;3.77342;3.26128;91.9452;0;69.6261;81.7158;0.205722;10.2283;114.755;32.5776;92.0274;73.9096
gene-93-consensus;9.58101;30.7335;18.921;19.4722;11.5495;17.4088;13.4125;27.7811;13.017;20.5999;20.5405;18.7506;13.051;20.4342;29.9487;10.1665;15.3682;16.9049;21.1376;13.665;10.1186;17.032;24.4005;20.9165;18.5205;11.6671;8.13276;48.8048;25.6472;17.3744;16.4327;28.8001;12.81;14.4496;2.99884;32.1487;15.5298;17.8099;38.4554;16.7727;19.1709;13.2057;13.1232;22.2973;38.8096;32.7651;61.8277;9.73419;60.3863;75.1556;51.7323;71.3328;48.998;51.6115;50.5608;41.6161;41.0728;29.3998;2.81304;72.0977;66.0395;63.7249;110.922;0;38.6506;41.1585;42.7348;22.2481;3.69767;1.67133;70.3045;125.655;45.5384;49.5893;0;5.95505;52.103;18.0658;72.6028;57.6972
gene-94-consensus;20.4599;45.4153;29.5919;39.7553;23.8956;29.3204;21.2066;54.9229;21.1877;37.7895;33.0828;39.0469;30.7524;34.9805;45.3809;22.4259;27.2055;28.7313;37.7864;30.9311;14.7595;41.2994;31.0123;39.0661;36.61;30.2569;15.5616;88.8316;51.192;43.4873;39.0066;53.1397;26.702;21.6934;7.44063;68.9826;23.2522;47.3667;78.3441;26.2853;34.7772;19.6525;24.3588;37.6035;64.5984;45.1885;74.3764;15.9018;97.0609;112.1;71.0341;94.4671;82.0181;67.9598;75.3206;62.7985;68.4521;69.6987;3.40545;154.987;115.316;93.4079;163.543;0.14277;50.0456;75.4907;59.4621;32.061;4.2006;3.14958;111.929;131.986;88.8488;92.7917;0;11.0963;120.234;28.0486;102.372;91.0944
gene-97-consensus;16.003;44.086;21.0309;27.0232;18.2379;25.4682;12.0784;30.2916;14.9077;25.1733;17.6362;32.6806;23.1731;30.6626;30.8979;16.1387;23.0714;15.5776;56.0524;30.1032;23.13;53.0342;29.185;18.2857;23.0186;20.8539;14.9397;53.2255;37.6388;31.6272;23.7142;50.1893;17.601;17.0436;6.67808;49.605;35.6602;31.6258;88.7563;31.6686;25.5146;9.60521;15.0156;23.105;38.8725;28.1017;58.346;11.2377;61.7874;66.29;39.7999;70.508;55.7026;45.5035;52.4241;43.31;54.3269;49.0528;2.88387;67.9633;63.9768;65.8169;100.626;0.508808;43.5866;38.7696;33.9573;18.3001;1.91045;2.3922;63.2339;0;45.916;61.5109;0;8.39621;63.5782;16.3506;73.5401;40.1341
gene-99-consensus;15.2664;27.6415;17.8282;19.2899;12.468;16.2105;6.12073;23.7639;20.8117;23.1365;17.3832;20.3656;15.1572;16.9379;36.9505;14.7953;16.9345;14.8058;26.1287;18.9671;7.10889;20.9944;24.8393;18.719;16.2407;13.9206;11.0375;48.0907;41.8026;20.2087;16.7815;43.6274;13.8134;18.6659;3.49672;27.0119;13.9131;21.6536;52.5887;16.8839;18.1225;10.5944;17.4194;25.6462;52.5011;29.8725;47.8192;12.2703;55.1162;77.5902;41.242;53.3744;56.8257;57.8946;46.776;0;71.5948;51.8869;2.95857;104.73;98.7949;60.7734;125.595;0.295499;41.1936;58.9515;57.1214;25.9405;1.67096;1.94188;65.6329;148.187;59.9102;65.051;0;5.95074;56.2577;24.9081;68.1485;0
gene-9-consensus;13.3242;35.2218;24.6207;26.7896;18.8213;13.2491;16.4173;25.8371;12.5706;29.7197;24.6272;15.6693;19.5919;22.1298;38.6447;16.8564;21.422;18.9893;21.0177;14.4885;16.2846;27.4172;23.4371;24.8283;23.1942;24.6856;8.81794;57.4209;30.8598;26.7668;20.9025;28.2845;11.6018;21.6607;4.61328;35.9563;14.0087;26.7197;46.3028;18.8268;27.0758;16.8045;16.0659;31.615;48.4179;41.8112;64.3474;10.5458;76.8416;89.8288;0;84.1946;80.0648;58.9951;63.8318;59.6619;63.673;57.048;3.10317;99.9309;0;67.3343;125.274;0.350532;53.4627;68.9683;57.0185;27.3028;3.97412;2.53691;88.8655;101.95;53.2832;73.2536;0.105152;7.4137;109.762;27.5086;82.938;71.2147